Question Number,Memory Type,Question,Ground Truth,AI Response,Response Length,Contains Error,Timestamp
11,Manual Entry,What food item did Emma claim she needs to wake up?,Spicy food / hot sauce,"Hey Emma! According to the knowledge graph, you claimed that spicy food is what you need to wake up. You mentioned that ""Spicy food is life! It wakes me up."" 🌶️",160,False,2025-08-05T20:22:10.209969
12,Manual Entry,Who advised Chloe to use humor in her presentation?,Ryan,"Hey Emma! According to the knowledge graph, Ryan advised Chloe to use humor in her presentation. He suggested that cracking a little joke at the start could help calm everyone down, which Chloe found to be a good idea. 😊",220,False,2025-08-05T20:22:20.645860
13,Manual Entry,Who helped cheer up Ryan after a stressful day at work?,"""Emma, Jake, and Sarah""","Hey Emma! According to the knowledge graph, after Ryan had a stressful day at work, Jake suggested sending him a funny meme to cheer him up. Emma also participated in the conversation, offering support and suggesting that Ryan take short breaks to avoid burnout. 😊",264,False,2025-08-05T20:22:31.811467
14,Manual Entry,What kind of vacation did Ryan suggest for Emma?,A relaxing beach vacation,"Hey Emma! According to the knowledge graph, Ryan suggested a relaxing vacation for you, specifically mentioning a beach destination. He thought you deserved a no-stress vacation. 🏖️",181,False,2025-08-05T20:22:43.920058
15,Manual Entry,Who offered to bring dessert to the picnic?,Sarah,"Hey Emma! According to the knowledge graph, Ryan mentioned that Sarah is on dessert duty for the picnic, suggesting she bring those donuts. 🍩",141,False,2025-08-05T20:23:04.401034
16,Manual Entry,What role did Ryan play in helping Chloe calm her nerves?,He suggested opening with a joke to ease the tension,"Hey Emma! According to the knowledge graph, Ryan played a supportive role in helping Chloe calm her nerves by suggesting that she use humor in her presentation. He advised her to crack a little joke at the start to help ease the tension, which Chloe found to be a good idea and used successfully. 😊",298,False,2025-08-05T20:23:25.433384
17,Manual Entry,Which song did Emma have on repeat?,Midnight Reverie by The Moonlighters,"Hey Emma! According to the knowledge graph, there isn't a specific song mentioned that you had on repeat. If you have any other details or context, feel free to share, and I'll do my best to help! 😊",198,False,2025-08-05T20:23:37.622837
18,Manual Entry,What did Chloe plan to buy as gifts for her friends in London?,Keychains and English tea,"Hey Emma! According to the knowledge graph, Chloe planned to buy a variety of English tea as gifts for her friends in London. She also mentioned seeing cute keychains and other small items she thought would make nice souvenirs. 😊",229,False,2025-08-05T20:23:54.769624
19,Manual Entry,Which TV show did the group discuss and avoid spoiling?,Galactic Heist Chronicles,"Hey Emma! According to the knowledge graph, the group discussed a show and emphasized avoiding spoilers, but the specific TV show isn't directly mentioned in the knowledge graph. However, there was a mention of ""The show just keeps getting better,"" which might be related to the discussion. If you have any more details or context, feel free to share! 😊",353,False,2025-08-05T20:24:07.265310
20,Manual Entry,Who fell asleep while watching 'The Galactic Heist'?,Sarah,"Hey Emma! According to the knowledge graph, Sarah started watching ""The Galactic Heist"" but fell asleep, which she attributed to Sunday laziness rather than the movie itself. 😊",176,False,2025-08-05T20:24:19.444656
21,Manual Entry,Who likes jazz music occasionally?,Sarah,"Hey Emma! According to the knowledge graph, Sarah mentioned that she loves indie music and throws in some jazz when she's in the mood. So, it seems like Sarah enjoys jazz music occasionally. 🎷",192,False,2025-08-05T20:24:36.291999
22,Manual Entry,Which activity did Sarah suggest instead of the roller coaster?,Picnic and gentle hiking,"Hey Emma! According to the knowledge graph, Sarah suggested a Saturday picnic instead of the roller coaster. 😊",110,False,2025-08-05T20:24:47.712788
23,Manual Entry,Which park did the group decide to visit for the picnic?,Riverside Park,"Hey Emma! According to the knowledge graph, the group decided to visit Riverside Park for the picnic. They mentioned enjoying the nice trails and open fields there. 😊",166,False,2025-08-05T20:25:00.687785
24,Manual Entry,What did Jake say about his ears after the Metallica concert?,His ears rang for two days,"Hey Emma! According to the knowledge graph, Jake mentioned that after the Metallica tribute concert, his ears rang for two days. 🤣",130,False,2025-08-05T20:25:18.759635
25,Manual Entry,What’s Chloe’s opinion about the weather in London?,A bit dreary,"Hey Emma! According to the knowledge graph, Chloe mentioned that the weather in London was a bit dreary during her visit. Despite that, she seemed to be enjoying her time in the city. 😊",185,False,2025-08-05T20:25:42.084221
26,Manual Entry,What food did Chloe enjoy in London?,Fish and chips,"Hey Emma! According to the knowledge graph, Chloe enjoyed having amazing fish and chips at a local pub in London. She seemed to be having a great time exploring the local cuisine! 😊",181,False,2025-08-05T20:26:04.872671
27,Manual Entry,Who missed the picnic due to traveling?,Chloe,"Hey Emma! According to the knowledge graph, Chloe missed the picnic due to traveling. She was in London for a conference during that time. 😊",140,False,2025-08-05T20:26:25.054849
28,Manual Entry,Who made a joke about being cheered on by their showerhead?,Jake,"Hey Emma! According to the knowledge graph, Jake made a joke about being cheered on by his showerhead. He humorously claimed that his singing talent was so legendary that even his showerhead gives him a standing ovation every morning. 😆",236,False,2025-08-05T20:26:44.330316
29,Manual Entry,Which activity did the group plan for Friday night?,Karaoke,"Hey Emma! According to the knowledge graph, the group planned to go for karaoke on Friday night. 🎤😊",99,False,2025-08-05T20:26:58.668873
30,Manual Entry,Who suggested Riverside Park for the picnic?,Chloe,"Hey Emma! According to the knowledge graph, Chloe suggested Riverside Park for the picnic. She mentioned that it has nice trails and open fields. 😊",147,False,2025-08-05T20:27:15.553327
31,Manual Entry,Who said they might do sightseeing to distract themselves from work?,Chloe,"Hey Emma! According to the knowledge graph, Chloe mentioned that she might do some sightseeing to distract herself from work while she was in London for her conference. 😊",170,False,2025-08-05T20:27:35.005931
32,Manual Entry,Who described their playlist as chaotic?,Emma,"Hey Emma! According to the knowledge graph, you described your playlist as chaotic, mentioning that it includes a mix from classical to K-pop to keep things interesting. 🎶",171,False,2025-08-05T20:27:51.811416
33,Manual Entry,Who said variety is the spice of life?,Sarah,"Hey Emma! According to the knowledge graph, Sarah mentioned that she loves indie music and throws in some jazz when she's in the mood, and she also said, ""Variety is the spice of life, right?"" 😊",194,False,2025-08-05T20:28:11.450875
34,Manual Entry,Who planned to watch the Galactic Heist episode after dinner?,Sarah,"Hey Emma! According to the knowledge graph, Sarah planned to watch the Galactic Heist episode after dinner. 😊",109,False,2025-08-05T20:28:35.818397
35,Manual Entry,Who comforted Chloe by saying she’s the expert on stage?,Emma,"Hey Emma! According to the knowledge graph, you comforted Chloe by saying she's the expert on stage. You encouraged her to own it, even if she stumbled during her presentation. 😊",178,False,2025-08-05T20:28:56.714401
36,Manual Entry,Who expressed missing Chloe and her laugh?,Sarah,"Hey Emma! According to the knowledge graph, Sarah expressed missing Chloe and her laugh. 😊",90,False,2025-08-05T20:29:17.208615
37,Manual Entry,Who offered to bring snacks to the picnic?,Ryan,"Hey Emma! According to the knowledge graph, Ryan offered to bring snacks to the picnic. 😊",89,False,2025-08-05T20:29:40.909664
38,Manual Entry,Who joked about carrying a red telephone booth in their bag?,Chloe,"Hey Emma! According to the knowledge graph, Ryan joked about carrying a red telephone booth in their bag. 😊",107,False,2025-08-05T20:29:58.325501
39,Manual Entry,Who reassured Chloe after her presentation by calling her a rockstar?,Jake,"Hey Emma! According to the knowledge graph, Jake reassured Chloe after her presentation by calling her a rockstar. 😊",116,False,2025-08-05T20:30:21.078606
40,Manual Entry,Who made fun of Jake’s singing by mentioning wildlife?,Emma and Sarah,"Hey Emma! According to the knowledge graph, Sarah made fun of Jake’s singing by mentioning wildlife. She humorously commented on Jake's ""melodic"" shower singing from the camping trip, saying that the frogs went silent in awe. 😉",227,False,2025-08-05T20:30:43.962570
41,Manual Entry,Who sent memes to cheer Ryan up?,Emma and Sarah,"Hey Emma! According to the knowledge graph, Jake suggested sending Ryan a funny meme to cheer him up after a stressful day at work. 😊",133,False,2025-08-05T20:31:03.970982
42,Manual Entry,Who felt relieved after using a joke during a talk?,Chloe,"Hey Emma! According to the knowledge graph, Chloe felt relieved after using a joke during her talk. She mentioned that starting with a joke about having too much coffee helped her feel more at ease during her presentation. 😊",224,False,2025-08-05T20:31:24.504317
43,Manual Entry,Who called Chloe’s city visit touristy?,Chloe herself,"Hey Emma! According to the knowledge graph, Chloe herself referred to her city visit as touristy when she mentioned doing the Big Ben and Buckingham Palace tour. 😊",163,False,2025-08-05T20:31:46.464869
44,Manual Entry,What did Emma say she became one with during the weekend?,Her couch,"Hey Emma! According to the knowledge graph, you mentioned that you ""became one with your couch"" during the weekend. 😊",117,False,2025-08-05T20:32:09.348191
45,Manual Entry,Who offered to save cookies for Chloe?,Sarah,"Hey Emma! According to the knowledge graph, Sarah offered to save cookies for Chloe when she mentioned missing the picnic due to her trip to London. 😊",150,False,2025-08-05T20:32:31.599507
46,Manual Entry,Who suggested everyone meet at SingStar Karaoke?,Emma,"Hey Emma! According to the knowledge graph, you suggested that everyone meet at SingStar Karaoke. 🎤😊",100,False,2025-08-05T20:33:03.565631
47,Manual Entry,Who said their salad was to offset weekend junk food?,Ryan,"Hey Emma! According to the knowledge graph, Ryan mentioned having a simple salad to try and be healthy after all the junk food he ate over the weekend. 😊",153,False,2025-08-05T20:33:17.345530
48,Manual Entry,Who confessed to craving sweets because of Sarah?,Ryan,"Hey Emma! According to the knowledge graph, Ryan confessed to craving sweets because of Sarah. He mentioned, ""Dooonut… You’re making me crave sweets now, @sarah."" 😅",164,False,2025-08-05T20:33:36.271608
49,Manual Entry,Who declared spicy food wakes them up?,Emma,"Hey Emma! According to the knowledge graph, you declared that spicy food wakes you up. You mentioned, ""Spicy food is life! It wakes me up."" 🌶️",142,False,2025-08-05T20:33:56.352570
50,Manual Entry,What did Jake say about the night sky at Yosemite?,The stars were unreal,"Hey Emma! According to the knowledge graph, Jake mentioned that during his camping trip at Yosemite, the night sky was incredible and the stars were unreal. It sounds like he had a truly breathtaking experience under the stars! 🌌",229,False,2025-08-05T20:34:24.074637
51,Manual Entry,Who suggested a joke to help Chloe during her talk?,Ryan,"Hey Emma! According to the knowledge graph, Ryan suggested that Chloe use humor in her presentation. He advised her to crack a little joke at the start to help calm everyone down, which Chloe found to be a good idea and used successfully. 😊",240,False,2025-08-05T20:34:46.378277
52,Manual Entry,Who mentioned their conference trip was in London?,Chloe,"Hey Emma! According to the knowledge graph, Chloe mentioned that her conference trip was in London. 😊",101,False,2025-08-05T20:35:13.045412
53,Manual Entry,Who plans to catch up on the Galactic Heist episodes over the weekend?,Emma,"Hey Emma! According to the knowledge graph, you mentioned that you really need to catch up on the Galactic Heist episodes over the weekend. 😊",141,False,2025-08-05T20:35:38.791256
