Question Number,Memory Type,Question,Ground Truth,AI Response,Accuracy Score,Is Correct,Response Length,Contains Error,Timestamp
13,Manual Entry,Who helped cheer up Ryan after a stressful day at work?,"""Emma, Jake, and Sarah""","Ryan was cheered up by memes after a stressful day at work. If you have more questions about Ryan or anything else, feel free to ask!",0.0,False,133,False,2025-08-13T17:01:16.961770
14,Manual Entry,What kind of vacation did Ryan suggest for Emma?,A relaxing beach vacation,"Ryan suggested a vacation for Emma, though the specific details of the vacation aren't provided in the knowledge graph. If you have more questions about Ryan's suggestions or Emma's plans, feel free to ask!",0.6,False,206,False,2025-08-13T17:01:42.091965
15,Manual Entry,Who offered to bring dessert to the picnic?,Sarah,"Emma offered to bring dessert to the picnic. If you have more questions about the picnic or anything else, feel free to ask!",0.0,False,124,False,2025-08-13T17:02:07.268444
16,Manual Entry,What role did Ryan play in helping Chloe calm her nerves?,He suggested opening with a joke to ease the tension,"Ryan played a supportive role in helping Chloe calm her nerves by cracking a joke at the start, using humor to ease the situation. If you have more questions about Ryan, Chloe, or anything else, feel free to ask!",0.6,False,212,False,2025-08-13T17:02:28.933734
17,Manual Entry,Which song did Emma have on repeat?,Midnight Reverie by The Moonlighters,"Emma had a song on repeat, though the specific song isn't named in the knowledge graph. If you have more questions about Emma's music preferences or anything else, feel free to ask!",0.2,False,181,False,2025-08-13T17:02:41.363239
18,Manual Entry,What did Chloe plan to buy as gifts for her friends in London?,Keychains and English tea,"Chloe planned to buy gifts for her friends in London. The knowledge graph indicates that she had plans to purchase gifts, though it doesn't specify what those gifts were. If you have more questions about Chloe's plans or anything else, feel free to ask!",0.0,False,253,False,2025-08-13T17:02:56.659207
19,Manual Entry,Which TV show did the group discuss and avoid spoiling?,Galactic Heist Chronicles,"The group discussed a TV show and made a point to avoid spoiling it. The specific TV show isn't named in the knowledge graph, but it indicates that the group was careful not to spoil it for others. If you have more questions about the group's discussions or anything else, feel free to ask!",0.0,False,290,False,2025-08-13T17:03:10.593540
20,Manual Entry,Who fell asleep while watching 'The Galactic Heist'?,Sarah,"An unnamed person fell asleep while watching 'The Galactic Heist'. If you have more questions about the viewing experience or anything else, feel free to ask!",0.0,False,158,False,2025-08-13T17:03:34.696117
21,Manual Entry,Who likes jazz music occasionally?,Sarah,"Emma occasionally likes jazz music. If you have more questions about Emma's music preferences or anything else, feel free to ask!",0.0,False,129,False,2025-08-13T17:03:46.375346
22,Manual Entry,Which activity did Sarah suggest instead of the roller coaster?,Picnic and gentle hiking,"Sarah suggested an alternative to the roller coaster, but the specific activity isn't detailed in the knowledge graph. If you have more questions about Sarah's suggestions or anything else, feel free to ask!",0.0,False,207,False,2025-08-13T17:04:01.299447
23,Manual Entry,Which park did the group decide to visit for the picnic?,Riverside Park,"The group decided to visit a park for the picnic. The specific park isn't named in the knowledge graph, but it indicates that the group chose a park as the destination. If you have more questions about the picnic or anything else, feel free to ask!",0.6,False,248,False,2025-08-13T17:04:17.612033
24,Manual Entry,What did Jake say about his ears after the Metallica concert?,His ears rang for two days,"Jake humorously commented about his ears after the Metallica concert, noting that his ears rang for two days. If you have more questions about Jake's concert experiences or anything else, feel free to ask!",0.9,True,205,False,2025-08-13T17:04:41.690739
25,Manual Entry,What’s Chloe’s opinion about the weather in London?,A bit dreary,"Chloe finds the weather in London dreary. If you have more questions about Chloe or anything else, feel free to ask!",0.0,False,116,False,2025-08-13T17:04:59.759718
26,Manual Entry,What food did Chloe enjoy in London?,Fish and chips,"Chloe enjoyed food in London, as noted in the knowledge graph. If you have more questions about Chloe's experiences or preferences, feel free to ask!",0.0,False,149,False,2025-08-13T17:05:29.185616
27,Manual Entry,Who missed the picnic due to traveling?,Chloe,"Chloe missed the picnic due to traveling. If you have more questions about the picnic or anything else, feel free to ask!",0.9,True,121,False,2025-08-13T17:05:51.488224
28,Manual Entry,Who made a joke about being cheered on by their showerhead?,Jake,"The joke about being cheered on by their showerhead was made by an Unknown Person. If you have more questions or need further details, feel free to ask!",0.0,False,152,False,2025-08-13T17:06:04.097509
29,Manual Entry,Which activity did the group plan for Friday night?,Karaoke,"The group planned an activity for Friday night, but the specific activity isn't detailed in the knowledge graph. If you have more questions about the group's plans or anything else, feel free to ask!",0.0,False,199,False,2025-08-13T17:06:22.201909
30,Manual Entry,Who suggested Riverside Park for the picnic?,Chloe,"Chloe suggested Riverside Park for the picnic. If you have more questions about the picnic or anything else, feel free to ask!",0.9,True,126,False,2025-08-13T17:06:51.418527
31,Manual Entry,Who said they might do sightseeing to distract themselves from work?,Chloe,"Chloe mentioned that she might do sightseeing to distract herself from work. If you have more questions about Chloe or anything else, feel free to ask!",0.9,True,151,False,2025-08-13T17:07:21.014789
32,Manual Entry,Who described their playlist as chaotic?,Emma,"Emma described her playlist as a chaotic mix. If you have more questions about Emma's playlist or anything else, feel free to ask!",0.9,True,130,False,2025-08-13T17:07:37.964492
33,Manual Entry,Who said variety is the spice of life?,Sarah,"Both Jake and Sarah have used the proverb ""variety is the spice of life."" If you have more questions about Jake, Sarah, or anything else, feel free to ask!",0.9,True,155,False,2025-08-13T17:08:00.008738
34,Manual Entry,Who planned to watch the Galactic Heist episode after dinner?,Sarah,"Sarah planned to watch the Galactic Heist episode after dinner. If you have more questions about Sarah or anything else, feel free to ask!",0.9,True,138,False,2025-08-13T17:08:15.274873
35,Manual Entry,Who comforted Chloe by saying she’s the expert on stage?,Emma,"An Unknown Person comforted Chloe by affirming that she is the expert on stage. If you have more questions about Chloe or anything else, feel free to ask!",0.0,False,154,False,2025-08-13T17:08:48.485926
36,Manual Entry,Who expressed missing Chloe and her laugh?,Sarah,"Emma expressed missing Chloe and her laugh. If you have more questions about Emma, Chloe, or anything else, feel free to ask!",0.0,False,125,False,2025-08-13T17:09:07.579367
37,Manual Entry,Who offered to bring snacks to the picnic?,Ryan,"Both Chloe and Ryan offered to bring snacks to the picnic. If you have more questions about the picnic or anything else, feel free to ask!",0.9,True,138,False,2025-08-13T17:09:39.222714
38,Manual Entry,Who joked about carrying a red telephone booth in their bag?,Chloe,"An Unknown Person joked about carrying a red telephone booth in their bag. If you have more questions or need further details, feel free to ask!",0.0,False,144,False,2025-08-13T17:09:54.199417
39,Manual Entry,Who reassured Chloe after her presentation by calling her a rockstar?,Jake,"An Unknown Person reassured Chloe after her presentation by calling her a rockstar. If you have more questions about Chloe or anything else, feel free to ask!",0.0,False,158,False,2025-08-13T17:10:09.265260
40,Manual Entry,Who made fun of Jake’s singing by mentioning wildlife?,Emma and Sarah,"An Unknown Person made fun of Jake's singing by mentioning wildlife. If you have more questions about Jake or anything else, feel free to ask!",0.0,False,142,False,2025-08-13T17:11:08.526637
41,Manual Entry,Who sent memes to cheer Ryan up?,Emma and Sarah,"Ryan was cheered up by memes, but the knowledge graph doesn't specify exactly who sent them. If you have more questions about Ryan or anything else, feel free to ask!",0.0,False,166,False,2025-08-13T17:11:20.993770
42,Manual Entry,Who felt relieved after using a joke during a talk?,Chloe,"Someone felt relieved after using a joke during a talk. The knowledge graph indicates that using humor in such situations can lead to a sense of relief, but it doesn't specify exactly who it was. If you have more questions or need further details, feel free to ask!",0.0,False,265,False,2025-08-13T17:12:06.237087
43,Manual Entry,Who called Chloe’s city visit touristy?,Chloe herself,"Chloe's city visit was described as touristy by an Unspecified Person. If you have more questions about Chloe's city visit or anything else, feel free to ask!",0.0,False,158,False,2025-08-13T17:12:27.478926
44,Manual Entry,What did Emma say she became one with during the weekend?,Her couch,"Emma mentioned that she became one with something during the weekend, but the specific details of what she became one with aren't provided in the knowledge graph. If you have more questions or need further details, feel free to ask!",0.0,False,232,False,2025-08-13T17:12:53.281763
45,Manual Entry,Who offered to save cookies for Chloe?,Sarah,"An Unknown Person offered to save cookies for Chloe. If you have more questions or need further details, feel free to ask!",0.0,False,122,False,2025-08-13T17:13:20.553463
46,Manual Entry,Who suggested everyone meet at SingStar Karaoke?,Emma,"Mocha suggested meeting at SingStar Karaoke. If you have more questions or need further details, feel free to ask!",0.0,False,114,False,2025-08-13T17:13:36.147745
47,Manual Entry,Who said their salad was to offset weekend junk food?,Ryan,"An Unknown Person mentioned that their salad was to offset weekend junk food. If you have more questions or need further details, feel free to ask!",0.0,False,147,False,2025-08-13T17:14:33.301797
48,Manual Entry,Who confessed to craving sweets because of Sarah?,Ryan,"An Unknown Person confessed to craving sweets because of Sarah. The knowledge graph indicates that Sarah influenced this craving. If you have more questions or need further details, feel free to ask!",0.0,False,199,False,2025-08-13T17:14:53.483185
49,Manual Entry,Who declared spicy food wakes them up?,Emma,"Emma declared that spicy food wakes her up. If you have more questions about Emma or anything else, feel free to ask!",0.9,True,117,False,2025-08-13T17:15:17.190164
50,Manual Entry,What did Jake say about the night sky at Yosemite?,The stars were unreal,"Jake has expressed his opinion about the night sky at Yosemite, describing it as something remarkable. If you have more questions about Jake's experiences or anything else, feel free to ask!",0.2,False,190,False,2025-08-13T17:15:49.204645
51,Manual Entry,Who suggested a joke to help Chloe during her talk?,Ryan,"Ryan suggested a joke to help Chloe during her talk. If you have more questions about Chloe's talk or anything else, feel free to ask!",0.9,True,134,False,2025-08-13T17:16:04.595449
52,Manual Entry,Who mentioned their conference trip was in London?,Chloe,"Chloe mentioned that her conference trip was in London. If you have more questions about Chloe's trip or anything else, feel free to ask!",0.9,True,137,False,2025-08-13T17:16:33.026011
53,Manual Entry,Who plans to catch up on the Galactic Heist episodes over the weekend?,Emma,"Emma plans to catch up on the Galactic Heist episodes over the weekend. If you have more questions about Emma or anything else, feel free to ask!",0.9,True,145,False,2025-08-13T17:16:48.910033
54,Manual Entry,Who joined the welcome‑back dinner for Chloe at Pizzeria Roma?,"Jake, Emma, Sarah, Ryan, and Chloe attended the dinner.","The welcome-back dinner for Chloe at Pizzeria Roma was attended by the group. If you have more questions about the dinner or anything else, feel free to ask!",0.4,False,157,False,2025-08-13T17:17:50.488677
55,Manual Entry,Which type of tea did Chloe bring back from London for Emma?,She brought English breakfast tea for Emma.,"Chloe brought back tea from London, but the specific type of tea she brought back for Emma isn't detailed in the knowledge graph. However, Emma did receive a sampler of English breakfast tea as a gift, which might be related. If you have more questions or need further details, feel free to ask!",0.8,True,295,False,2025-08-13T17:18:05.138337
56,Manual Entry,What souvenir did Chloe bring for Ryan from London?,She gave him a tiny red telephone booth magnet.,"Chloe brought back macadamia nuts as a souvenir for Ryan from London. If you have more questions about Chloe's trip or anything else, feel free to ask!",0.2,False,151,False,2025-08-13T17:18:26.818858
57,Manual Entry,Who complimented Emma’s accidental purple hair?,Chloe asked to see a picture of Emma’s purple hair.,"Emma's accidental purple hair was complimented by strangers, as noted in the knowledge graph. If you have more questions about Emma or anything else, feel free to ask!",0.2,False,167,False,2025-08-13T17:18:40.501961
58,Manual Entry,What new class did Jake enroll in to improve his culinary skills?,He signed up for a six‑week cooking class.,"Jake enrolled in a six-week cooking class to improve his culinary skills. If you have more questions about Jake or anything else, feel free to ask!",0.2,False,147,False,2025-08-13T17:19:27.137529
59,Manual Entry,Which class did Sarah register for that made her fear she’d create an accidental abstract art piece?,A pottery class.,"Sarah registered for a pottery class, which made her fear she’d create an accidental abstract art piece. If you have more questions about Sarah or anything else, feel free to ask!",0.6,False,179,False,2025-08-13T17:19:44.862986
60,Manual Entry,What did Ryan discover at the farmers market that became his new addiction?,He discovered habanero salsa.,"Ryan discovered habanero salsa at the farmer's market, which became his new addiction. If you have more questions about Ryan or anything else, feel free to ask!",0.6,False,160,False,2025-08-13T17:20:34.205755
61,Manual Entry,How did Chloe handle jet lag when she couldn’t sleep?,She woke up at 4 AM and reorganized her bookshelf by color.,"Chloe handled jet lag by engaging in reorganizing her bookshelf by color, which is something she does when she's sleep-deprived. If you have more questions about Chloe or anything else, feel free to ask!",0.4,False,203,False,2025-08-13T17:21:35.837759
62,Manual Entry,What is the name of Ryan’s rescue dog?,Rex.,"Ryan's rescue dog is named Rex. If you have more questions about Ryan or anything else, feel free to ask!",0.9,True,105,False,2025-08-13T17:22:01.779964
63,Manual Entry,Which Hawaiian island did Emma book a trip to?,Maui.,"Emma booked a trip to a Hawaiian island, but the specific island isn't detailed in the knowledge graph. If you have more questions about Emma or anything else, feel free to ask!",0.0,False,177,False,2025-08-13T17:22:14.905094
64,Manual Entry,What unusual ingredient does Jake add to his Nonna’s meatballs?,Raisins.,"Jake adds raisins as an unusual ingredient to his Nonna’s meatballs. If you have more questions about Jake's cooking or anything else, feel free to ask!",0.0,False,152,False,2025-08-13T17:22:35.819770
65,Manual Entry,"What color is Chloe’s porch cat, later called Whiskers?",Orange with white paws and belly.,"Chloe's porch cat, later named Whiskers, is orange with a white belly. If you have more questions about Whiskers or anything else, feel free to ask!",0.6,False,148,False,2025-08-13T17:22:54.886608
66,Manual Entry,What VR workout did Emma try that resulted in her knocking over a lamp?,She tried a VR boxing workout.,"Emma tried a VR boxing workout, which resulted in her accidentally knocking over a lamp. If you have more questions about Emma's VR experiences or anything else, feel free to ask!",0.6,False,179,False,2025-08-13T17:23:27.441025
67,Manual Entry,What recipe did Chloe test for a potluck that included cocoa powder?,"A veggie chili with sweet potatoes, black beans, and a hint of cocoa powder.","Chloe tested a recipe for a potluck that included cocoa powder. The specific recipe isn't named, but it's noted that cocoa powder was an ingredient in the recipe she tested. If you have more questions about Chloe's cooking or anything else, feel free to ask!",0.2,False,258,False,2025-08-13T17:23:52.393042
68,Manual Entry,Who suggested the team name ‘Quiztinas Aguilera’ for trivia night?,Emma suggested that name.,"The team name 'Quiztinas Aguilera' for trivia night was suggested by Emma. If you have more questions about trivia night or anything else, feel free to ask!",0.2,False,156,False,2025-08-13T17:24:21.759739
69,Manual Entry,Which item did Jake bake and bring to trivia night?,He brought focaccia with rosemary and sea salt.,"Jake baked and brought focaccia bread to trivia night. If you have more questions about Jake's baking or anything else, feel free to ask!",0.4,False,137,False,2025-08-13T17:24:37.128192
70,Manual Entry,"What 1,000‑piece puzzle did Emma work on that depicted a national park?","A 1,000‑piece landscape puzzle of Yosemite.","Emma worked on a 1,000-piece landscape puzzle of Yosemite, which depicted a national park. If you have more questions about Emma's activities or anything else, feel free to ask!",0.6,False,177,False,2025-08-13T17:25:04.985091
71,Manual Entry,What board game did Sarah want to play at the next game night?,Settlers of Catan.,"Sarah wanted to play ""Settlers of Catan"" at the next board game night. If you have more questions about Sarah or anything else, feel free to ask!",0.4,False,145,False,2025-08-13T17:25:49.128626
72,Manual Entry,What accident caused Jake to end up on crutches and borrow a knee scooter?,He slipped on wet leaves and worsened his ankle sprain.,"Jake ended up on crutches and borrowed a knee scooter due to an accident. The specific details of the accident aren't provided in the knowledge graph, but it indicates that this incident led to him using crutches and borrowing a knee scooter for mobility. If you have more questions about Jake or anything else, feel free to ask!",0.2,False,329,False,2025-08-13T17:26:05.775129
73,Manual Entry,Which streaming series did Jake decide to binge while recovering from his ankle injury?,‘Cosmic Detectives.’,"Jake decided to binge-watch the streaming series ""Cosmic Detectives"" while recovering from his ankle injury. If you have more questions about Jake or anything else, feel free to ask!",0.0,False,182,False,2025-08-13T17:26:18.248983
74,Manual Entry,What did Sarah plan to bring to the heritage potluck?,Her grandma’s Polish pierogi.,"Sarah planned to bring pierogi to the heritage potluck. If you have more questions about the potluck or anything else, feel free to ask!",0.0,False,136,False,2025-08-13T17:27:17.100977
75,Manual Entry,What dish did Ryan say he would bring to the heritage potluck?,His mom’s Greek spanakopita.,"Ryan planned to bring a dish to the heritage potluck, though the specific dish isn't detailed in the knowledge graph. If you have more questions about the potluck or anything else, feel free to ask!",0.0,False,198,False,2025-08-13T17:27:48.651822
76,Manual Entry,What did Sarah accidentally wear mismatched to a meeting?,She wore mismatched shoes.,"Sarah accidentally wore mismatched clothing to a meeting. Specifically, she wore mismatched shoes. If you have more questions about Sarah or anything else, feel free to ask!",0.9,True,173,False,2025-08-13T17:28:09.621479
77,Manual Entry,What did Rex chew up that forced Ryan to watch a cooking channel on TV?,Rex chewed up the remote control.,"Rex chewed up the TV remote, which forced Ryan to watch a cooking channel on TV. If you have more questions about Rex or anything else, feel free to ask!",0.6,False,153,False,2025-08-13T17:28:37.185622
78,Manual Entry,What name did Jake give to his guitar?,Rosie.,"Jake named his guitar ""Doughy McDoughface."" If you have more questions about Jake or anything else, feel free to ask!",0.0,False,117,False,2025-08-13T17:29:03.751455
79,Manual Entry,Which VR experience did Emma try that allowed her to walk through a famous museum?,She used a VR travel experience to tour the Louvre.,"Emma tried a VR experience that simulates walking through a famous museum. If you have more questions about Emma or anything else, feel free to ask!",0.4,False,148,False,2025-08-13T17:29:17.402621
80,Manual Entry,What name did Jake give his sourdough starter?,Doughy McDoughface.,"Jake named his sourdough starter ""Doughy McDoughface."" If you have more questions about Jake or anything else, feel free to ask!",0.9,True,128,False,2025-08-13T17:29:30.703071
81,Manual Entry,What is Chloe’s neighbor’s cat’s real name?,Marmalade.,"The knowledge graph does not specify Chloe's neighbor's cat's real name. If you have more questions or need further details, feel free to ask!",0.0,False,142,False,2025-08-13T17:30:03.147885
82,Manual Entry,Which therapy tool did Sarah’s pottery teacher give to encourage her?,A gold star sticker.,"Sarah's pottery teacher gave her a therapy tool for encouragement. If you have more questions about Sarah or anything else, feel free to ask!",0.2,False,141,False,2025-08-13T17:30:17.869255
83,Manual Entry,How did Ryan assist Sarah with starting meditation?,He recommended the CalmCove meditation app.,"Ryan assisted Sarah with starting meditation by helping her with it. If you have more questions about Ryan, Sarah, or anything else, feel free to ask!",0.2,False,150,False,2025-08-13T17:30:31.437942
84,Manual Entry,What treat did Chloe plan to bake in exchange for sampling Jake’s tiramisu?,Cinnamon rolls.,"Chloe planned to bake cinnamon rolls in exchange for sampling Jake’s tiramisu. If you have more questions about Chloe's baking plans or anything else, feel free to ask!",0.6,False,168,False,2025-08-13T17:30:50.570060
85,Manual Entry,Who celebrated their sister’s engagement and promised to play guitar at the wedding?,Ryan celebrated his sister’s engagement and Jake offered to play guitar.,"An Unknown Person celebrated their sister's engagement and promised to play guitar at the wedding. If you have more questions or need further details, feel free to ask!",0.4,False,168,False,2025-08-13T17:31:16.364911
86,Manual Entry,What did Emma name her new guitar?,Luna.,"Emma named her new guitar ""Luna."" If you have more questions about Emma or anything else, feel free to ask!",0.9,True,107,False,2025-08-13T17:31:44.801859
87,Manual Entry,What specific dish did Emma contribute to the heritage‑themed potluck that featured coconut milk and bamboo shoots?,"A spicy Thai green curry with coconut milk, bamboo shoots and eggplant.","Emma contributed a spicy Thai green curry to the heritage-themed potluck, which featured coconut milk and bamboo shoots. If you have more questions about the potluck or anything else, feel free to ask!",0.6,False,201,False,2025-08-13T17:32:16.455876
88,Manual Entry,What was the team’s biggest success at the Green Dragon pub trivia night?,They came second place.,"The team's biggest success at the Green Dragon pub trivia night was their achievement in the event. If you have more questions about the trivia night or anything else, feel free to ask!",0.0,False,185,False,2025-08-13T17:32:32.699239
89,Manual Entry,What movie made Emma cry during the potluck movie marathon?,She got emotional watching ‘Back to the Future’ when the DeLorean hit 88 mph.,"Emma was emotionally affected by a movie during the potluck movie marathon, but the specific movie that made her cry isn't detailed in the knowledge graph. If you have more questions or need further details, feel free to ask!",0.2,False,225,False,2025-08-13T17:34:08.226523
90,Manual Entry,What art piece did Ryan take a picture of at the botanical garden?,A close‑up of a bee on a sunflower.,"Ryan took a photo of an art piece at the botanical garden. However, the specific art piece isn't detailed in the knowledge graph. If you have more questions or need further details, feel free to ask!",0.4,False,199,False,2025-08-13T17:34:37.751543
91,Manual Entry,Which book did Emma enjoy reading that blended science and humor?,‘Project Hail Mary.’,"Emma enjoyed reading ""Project Hail Mary,"" which blends science and humor. If you have more questions about Emma's reading preferences or anything else, feel free to ask!",0.4,False,169,False,2025-08-13T17:34:49.618866
92,Manual Entry,What new hobby did Ryan start after the potluck?,He started volunteering at the community garden.,"Ryan started a new hobby after the potluck, which is photography. If you have more questions about Ryan or anything else, feel free to ask!",0.2,False,139,False,2025-08-13T17:35:15.214366
93,Manual Entry,Which workshop did Sarah and Chloe plan to attend together to cultivate mindfulness?,A mindfulness workshop at the community center.,"Sarah and Chloe planned to attend a mindfulness workshop together. If you have more questions about their plans or anything else, feel free to ask!",0.4,False,147,False,2025-08-13T17:35:32.048577
94,Manual Entry,Who is Chloe’s cousin that visited from Toronto?,Liam.,"Chloe's cousin, who visited from Toronto, is simply referred to as ""cousin"" in the knowledge graph. There isn't a specific name provided for Chloe's cousin. If you have more questions about Chloe or anything else, feel free to ask!",0.0,False,231,False,2025-08-13T17:35:55.637961
95,Manual Entry,What was the name of the app that Ryan’s hackathon team built?,An app that matches employees with mentorship programs.,"Ryan's hackathon team built an app, but the specific name of the app isn't detailed in the knowledge graph. If you have more questions about Ryan's projects or anything else, feel free to ask!",0.2,False,192,False,2025-08-13T17:36:20.841153
96,Manual Entry,Which painting did Ryan spend an hour looking at in the Art Institute of Chicago?,Seurat’s ‘A Sunday on La Grande Jatte.’,"Ryan spent time observing a painting at the Art Institute of Chicago, but the specific painting he spent an hour looking at isn't detailed in the knowledge graph. If you have more questions about Ryan's visit or anything else, feel free to ask!",0.0,False,244,False,2025-08-13T17:36:43.196942
97,Manual Entry,What new instrument did Jake foster and what was its name?,He fostered a green parrot named Polly.,"Jake fostered a new instrument, but the specific name of the instrument isn't detailed in the knowledge graph. If you have more questions about Jake or anything else, feel free to ask!",0.2,False,184,False,2025-08-13T17:37:05.677073
98,Manual Entry,"During the award ceremony, what did Chloe plan to joke about regarding her cat?",She planned to joke that Whiskers walked across the keyboard adding extra letters.,"During the award ceremony, Chloe planned to joke about her cat. If you have more questions about Chloe or the award ceremony, feel free to ask!",0.4,False,143,False,2025-08-13T17:37:30.165225
99,Manual Entry,"Who did Emma practice her AI project speech in front of, according to her joke?",Her microwave.,I'm having trouble responding right now. Please try again.,0.0,False,58,False,2025-08-13T17:37:59.747908
100,Manual Entry,What is Sarah’s puppy foster’s name and appearance?,"Mocha, a brown and white puppy.","Sarah's puppy foster is named Mocha, and the puppy has a brown and white appearance. If you have more questions about Sarah or anything else, feel free to ask!",0.8,True,159,False,2025-08-13T17:38:17.443451
101,Manual Entry,What flavor of ice cream did Chloe eat after her car broke down?,Pistachio.,"Chloe ate ice cream after her car broke down, but the specific flavor isn't detailed in the knowledge graph. If you have more questions about Chloe or anything else, feel free to ask!",0.0,False,183,False,2025-08-13T17:38:42.483370
102,Manual Entry,Which interactive piece did Chloe plan to add to her blog after visiting an art exhibit?,An interactive light show.,"Chloe planned to add an interactive piece to her blog after visiting an art exhibit. If you have more questions about Chloe's blog or anything else, feel free to ask!",0.6,False,166,False,2025-08-13T17:38:55.271557
103,Manual Entry,What dish did Jake’s cousin invite the group to taste at his midnight jazz concert?,Blueberry cheesecake served at the Blue Note Lounge.,"Jake's cousin invited the group to taste a dish at his midnight jazz concert, but the specific dish isn't detailed in the knowledge graph. If you have more questions about the event or anything else, feel free to ask!",0.2,False,217,False,2025-08-13T17:39:19.903271
104,Manual Entry,What was Emma’s favorite souvenir purchased in London?,A sampler of English breakfast tea.,"Emma's favorite souvenir purchased in London is a souvenir she bought there, as noted in the knowledge graph. If you have more questions about Emma or anything else, feel free to ask!",0.2,False,183,False,2025-08-13T17:39:43.235919
105,Manual Entry,What did Sarah wear accidentally to work that made her colleague ask about ‘clay couture’?,Her pottery apron.,"Sarah accidentally wore a pottery apron to work, which led her colleague to inquire about 'clay couture.' If you have more questions about Sarah or anything else, feel free to ask!",0.6,False,180,False,2025-08-13T17:40:13.210590
106,Manual Entry,What name did Chloe secretly give her sourdough starter?,She did not name a sourdough starter; that was Jake.,"Chloe secretly named her sourdough starter ""Whiskers."" If you have more questions about Chloe or anything else, feel free to ask!",0.2,False,129,False,2025-08-13T17:40:42.758771
107,Manual Entry,"During the desert trip, what astronomical feature did Jake mention they saw?",The Milky Way.,"During the desert trip, Jake mentioned seeing an astronomical feature, though the specific feature isn't detailed in the knowledge graph. If you have more questions about Jake's desert trip or anything else, feel free to ask!",0.4,False,225,False,2025-08-13T17:41:13.181387
108,Manual Entry,Which dessert did Ryan bring to the heritage potluck besides spanakopita?,Baklava.,"Ryan suggested bringing donuts as a dessert to the heritage potluck. If you have more questions about the potluck or anything else, feel free to ask!",0.0,False,149,False,2025-08-13T17:41:26.941954
109,Manual Entry,What childhood activity did Sarah do with her nephew that reminded her of camping?,Building a pillow fort.,"Sarah built a pillow fort with her nephew, which reminded her of camping. If you have more questions about Sarah or anything else, feel free to ask!",0.6,False,148,False,2025-08-13T17:41:45.402069
110,Manual Entry,What did Emma claim to become one with during her weekend?,Her couch.,"Emma claimed to become one with something during her weekend, but the specific details of what she became one with aren't provided in the knowledge graph. If you have more questions or need further details, feel free to ask!",0.6,False,224,False,2025-08-13T17:43:11.979108
