Question Number,Memory Type,Question,Ground Truth,AI Response,Response Length,Contains Error,Timestamp
44,Manual Entry,What did Emma say she became one with during the weekend?,Her couch,"According to the knowledge graph, Emma mentioned that she ""became one with"" something during the weekend, but the specific details of what she became one with aren't explicitly mentioned. If you need more context, you might want to check with Emma directly for the details!",273,False,2025-08-13T01:40:51.446719
45,Manual Entry,Who offered to save cookies for Chloe?,Sarah,"According to the knowledge graph, Sarah offered to save cookies for Chloe.",74,False,2025-08-13T01:41:06.687114
46,Manual Entry,Who suggested everyone meet at SingStar Karaoke?,Emma,"According to the knowledge graph, everyone considered SingStar Karaoke as a potential meeting place.",100,False,2025-08-13T01:41:21.066650
47,Manual Entry,Who said their salad was to offset weekend junk food?,Ryan,"According to the knowledge graph, an unnamed person consumes salad regularly as a health balance, which suggests they might have said their salad was to offset weekend junk food.",178,False,2025-08-13T01:42:13.440013
48,Manual Entry,Who confessed to craving sweets because of Sarah?,Ryan,"According to the knowledge graph, Ryan confessed to craving sweets because of Sarah.",84,False,2025-08-13T01:42:38.640463
49,Manual Entry,Who declared spicy food wakes them up?,Emma,"According to the knowledge graph, Emma declared that spicy food wakes her up.",77,False,2025-08-13T01:43:05.022358
50,Manual Entry,What did Jake say about the night sky at Yosemite?,The stars were unreal,"According to the knowledge graph, Jake has an opinion on the night sky at Yosemite, comparing it to glitter.",108,False,2025-08-13T01:44:00.556791
51,Manual Entry,Who suggested a joke to help Chloe during her talk?,Ryan,"According to the knowledge graph, Sarah suggested starting with a joke, which likely helped Chloe during her talk.",114,False,2025-08-13T01:44:27.311342
52,Manual Entry,Who mentioned their conference trip was in London?,Chloe,"According to the knowledge graph, Emma inquired about a conference trip in London.",82,False,2025-08-13T01:44:52.903085
53,Manual Entry,Who plans to catch up on the Galactic Heist episodes over the weekend?,Emma,"According to the knowledge graph, Emma plans to watch Galactic Heist episodes.",78,False,2025-08-13T01:45:23.021690
54,Manual Entry,Who joined the welcome‑back dinner for Chloe at Pizzeria Roma?,"Jake, Emma, Sarah, Ryan, and Chloe attended the dinner.","According to the knowledge graph, Emma, Jake, Sarah, Ryan, and Chloe were involved in the welcome-back dinner for Chloe at Pizzeria Roma.",137,False,2025-08-13T01:45:50.652971
55,Manual Entry,Which type of tea did Chloe bring back from London for Emma?,She brought English breakfast tea for Emma.,"According to the knowledge graph, Emma received a sampler of English breakfast tea as a gift, but it doesn't specify that Chloe brought it back from London.",156,False,2025-08-13T01:46:05.007079
56,Manual Entry,What souvenir did Chloe bring for Ryan from London?,She gave him a tiny red telephone booth magnet.,"According to the knowledge graph, Chloe gifted Ryan a souvenir. However, the specific souvenir Chloe brought for Ryan from London isn't explicitly mentioned in the graph.",170,False,2025-08-13T01:46:25.815489
57,Manual Entry,Who complimented Emma’s accidental purple hair?,Chloe asked to see a picture of Emma’s purple hair.,"According to the knowledge graph, Emma's accidental purple hair was complimented by strangers and someone.",106,False,2025-08-13T01:46:48.280362
58,Manual Entry,What new class did Jake enroll in to improve his culinary skills?,He signed up for a six‑week cooking class.,"According to the knowledge graph, Jake enrolled in a six-week cooking class to improve his culinary skills.",107,False,2025-08-13T01:47:00.684104
59,Manual Entry,Which class did Sarah register for that made her fear she’d create an accidental abstract art piece?,A pottery class.,"According to the knowledge graph, Sarah participated in a pottery class, which is associated with her fear of creating an unintentional abstract art piece.",155,False,2025-08-13T01:47:16.899740
60,Manual Entry,What did Ryan discover at the farmers market that became his new addiction?,He discovered habanero salsa.,"According to the knowledge graph, Ryan visited the farmers market, but it doesn't specify what he discovered there that became his new addiction. If you're curious, you might want to ask Ryan directly for more details!",218,False,2025-08-13T01:47:48.551957
61,Manual Entry,How did Chloe handle jet lag when she couldn’t sleep?,She woke up at 4 AM and reorganized her bookshelf by color.,"According to the knowledge graph, Chloe combated jet lag with an activity. Specifically, she engaged in reorganizing her bookshelf by color when she couldn't sleep.",164,False,2025-08-13T01:48:02.602227
62,Manual Entry,What is the name of Ryan’s rescue dog?,Rex.,"According to the knowledge graph, Ryan's rescue dog is named Rex.",65,False,2025-08-13T01:49:31.457880
63,Manual Entry,Which Hawaiian island did Emma book a trip to?,Maui.,"According to the knowledge graph, Emma booked a trip to a Hawaiian island, but it doesn't specify which particular island she booked a trip to. If you need more details, you might want to ask Emma directly!",206,False,2025-08-13T01:49:44.155220
64,Manual Entry,What unusual ingredient does Jake add to his Nonna’s meatballs?,Raisins.,"According to the knowledge graph, Jake adds a secret ingredient to his Nonna’s meatballs, but the specific unusual ingredient isn't explicitly mentioned. If you're curious, you might want to ask Jake directly for more details!",226,False,2025-08-13T01:50:02.151285
65,Manual Entry,"What color is Chloe’s porch cat, later called Whiskers?",Orange with white paws and belly.,"According to the knowledge graph, Chloe's porch cat, later named Whiskers, doesn't have a specific color mentioned. However, Chloe also has a kitten named Luna, who is described as having a silver-gray color. If you need more details about Whiskers, you might want to ask Chloe directly!",287,False,2025-08-13T01:50:35.308707
66,Manual Entry,What VR workout did Emma try that resulted in her knocking over a lamp?,She tried a VR boxing workout.,"According to the knowledge graph, Emma tried a VR boxing workout. While it doesn't explicitly mention her knocking over a lamp, it's possible that the VR boxing workout could have led to such an incident given the physical nature of the activity.",246,False,2025-08-13T01:50:59.887631
67,Manual Entry,What recipe did Chloe test for a potluck that included cocoa powder?,"A veggie chili with sweet potatoes, black beans, and a hint of cocoa powder.","According to the knowledge graph, Chloe tested a recipe for a potluck that included cocoa powder, specifically the veggie chili recipe.",135,False,2025-08-13T01:51:15.629735
68,Manual Entry,Who suggested the team name ‘Quiztinas Aguilera’ for trivia night?,Emma suggested that name.,"According to the knowledge graph, Emma inquired about the suggestion for the team name 'Quiztinas Aguilera' for trivia night. However, the graph doesn't specify who originally suggested the name.",195,False,2025-08-13T01:52:50.738506
69,Manual Entry,Which item did Jake bake and bring to trivia night?,He brought focaccia with rosemary and sea salt.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:53:06.137194
70,Manual Entry,"What 1,000‑piece puzzle did Emma work on that depicted a national park?","A 1,000‑piece landscape puzzle of Yosemite.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:53:19.874745
71,Manual Entry,What board game did Sarah want to play at the next game night?,Settlers of Catan.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:53:33.438740
72,Manual Entry,What accident caused Jake to end up on crutches and borrow a knee scooter?,He slipped on wet leaves and worsened his ankle sprain.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:53:46.709758
73,Manual Entry,Which streaming series did Jake decide to binge while recovering from his ankle injury?,‘Cosmic Detectives.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:54:00.601518
74,Manual Entry,What did Sarah plan to bring to the heritage potluck?,Her grandma’s Polish pierogi.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:54:14.009662
75,Manual Entry,What dish did Ryan say he would bring to the heritage potluck?,His mom’s Greek spanakopita.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:54:27.109288
76,Manual Entry,What did Sarah accidentally wear mismatched to a meeting?,She wore mismatched shoes.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:54:40.753473
77,Manual Entry,What did Rex chew up that forced Ryan to watch a cooking channel on TV?,Rex chewed up the remote control.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:54:54.335771
78,Manual Entry,What name did Jake give to his guitar?,Rosie.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:55:07.521315
79,Manual Entry,Which VR experience did Emma try that allowed her to walk through a famous museum?,She used a VR travel experience to tour the Louvre.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:55:20.962827
80,Manual Entry,What name did Jake give his sourdough starter?,Doughy McDoughface.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:55:34.691910
81,Manual Entry,What is Chloe’s neighbor’s cat’s real name?,Marmalade.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:55:48.057828
82,Manual Entry,Which therapy tool did Sarah’s pottery teacher give to encourage her?,A gold star sticker.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:56:01.624011
83,Manual Entry,How did Ryan assist Sarah with starting meditation?,He recommended the CalmCove meditation app.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:56:15.043230
84,Manual Entry,What treat did Chloe plan to bake in exchange for sampling Jake’s tiramisu?,Cinnamon rolls.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:56:29.038267
85,Manual Entry,Who celebrated their sister’s engagement and promised to play guitar at the wedding?,Ryan celebrated his sister’s engagement and Jake offered to play guitar.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:56:42.886607
86,Manual Entry,What did Emma name her new guitar?,Luna.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:56:56.728309
87,Manual Entry,What specific dish did Emma contribute to the heritage‑themed potluck that featured coconut milk and bamboo shoots?,"A spicy Thai green curry with coconut milk, bamboo shoots and eggplant.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:57:10.373946
88,Manual Entry,What was the team’s biggest success at the Green Dragon pub trivia night?,They came second place.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:57:23.930215
89,Manual Entry,What movie made Emma cry during the potluck movie marathon?,She got emotional watching ‘Back to the Future’ when the DeLorean hit 88 mph.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:57:37.960384
90,Manual Entry,What art piece did Ryan take a picture of at the botanical garden?,A close‑up of a bee on a sunflower.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:57:51.614681
91,Manual Entry,Which book did Emma enjoy reading that blended science and humor?,‘Project Hail Mary.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:58:05.061130
92,Manual Entry,What new hobby did Ryan start after the potluck?,He started volunteering at the community garden.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:58:18.154494
93,Manual Entry,Which workshop did Sarah and Chloe plan to attend together to cultivate mindfulness?,A mindfulness workshop at the community center.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:58:31.533591
94,Manual Entry,Who is Chloe’s cousin that visited from Toronto?,Liam.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:58:44.669282
95,Manual Entry,What was the name of the app that Ryan’s hackathon team built?,An app that matches employees with mentorship programs.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:58:58.826299
96,Manual Entry,Which painting did Ryan spend an hour looking at in the Art Institute of Chicago?,Seurat’s ‘A Sunday on La Grande Jatte.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:59:12.363748
97,Manual Entry,What new instrument did Jake foster and what was its name?,He fostered a green parrot named Polly.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:59:25.988201
98,Manual Entry,"During the award ceremony, what did Chloe plan to joke about regarding her cat?",She planned to joke that Whiskers walked across the keyboard adding extra letters.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:59:39.297681
99,Manual Entry,"Who did Emma practice her AI project speech in front of, according to her joke?",Her microwave.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T01:59:53.023837
100,Manual Entry,What is Sarah’s puppy foster’s name and appearance?,"Mocha, a brown and white puppy.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:00:06.585064
101,Manual Entry,What flavor of ice cream did Chloe eat after her car broke down?,Pistachio.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:00:20.192680
102,Manual Entry,Which interactive piece did Chloe plan to add to her blog after visiting an art exhibit?,An interactive light show.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:00:33.833385
103,Manual Entry,What dish did Jake’s cousin invite the group to taste at his midnight jazz concert?,Blueberry cheesecake served at the Blue Note Lounge.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:00:47.638742
104,Manual Entry,What was Emma’s favorite souvenir purchased in London?,A sampler of English breakfast tea.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:01:00.973107
105,Manual Entry,What did Sarah wear accidentally to work that made her colleague ask about ‘clay couture’?,Her pottery apron.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:01:14.977624
106,Manual Entry,What name did Chloe secretly give her sourdough starter?,She did not name a sourdough starter; that was Jake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:01:28.594921
107,Manual Entry,"During the desert trip, what astronomical feature did Jake mention they saw?",The Milky Way.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:01:42.405071
108,Manual Entry,Which dessert did Ryan bring to the heritage potluck besides spanakopita?,Baklava.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:01:55.651923
109,Manual Entry,What childhood activity did Sarah do with her nephew that reminded her of camping?,Building a pillow fort.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:02:09.190072
110,Manual Entry,What did Emma claim to become one with during her weekend?,Her couch.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:02:22.850837
111,Manual Entry,Which device did Ryan find particularly helpful for his presentation practice?,His microwave.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:02:36.771220
112,Manual Entry,What is the name of the local coffee shop that announced its closing?,Bean There Done That.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:02:50.373654
113,Manual Entry,Which street artist did Chloe interview and what was his tool of choice?,She interviewed an artist known as ‘Skyline’ who uses paint rollers.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:03:03.899371
114,Manual Entry,Which song did Jake joke about playing at Ryan’s sister’s wedding?,The Mario Kart theme.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:03:17.772744
115,Manual Entry,Whose hobby involves bullet journaling and spilled coffee on page one?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:03:31.420988
116,Manual Entry,Who drew stickers on Jake’s crutches and what did one say?,Sarah decorated the crutches; one sticker said ‘this is how I roll.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:03:44.940401
117,Manual Entry,What item did Emma test using an AR app that allowed her to repaint her living room?,An AR art app that allowed her to virtually paint her living room in neon colors.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:03:58.657141
118,Manual Entry,What did Sarah overstuff in her pierogi preparation?,She overstuffed pierogi with potato and cheese.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:04:12.060023
119,Manual Entry,Which new technology did Chloe use to build a mini app with interactive diagrams?,She attended an online coding workshop to add interactive diagrams to her blog.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:04:25.343427
120,Manual Entry,What name did Emma give to the sea turtle she saw while snorkeling in Maui?,Crush.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:04:39.083016
121,Manual Entry,Who recommended a meditation app to Ryan?,Sarah’s coworker originally recommended CalmCove.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:04:52.492003
122,Manual Entry,What did Ryan’s dog Rex do during Ryan’s board game night?,Rex stole a spinach leaf while Ryan was preparing spanakopita.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:05:06.955298
123,Manual Entry,What embarrassing mispronunciation happened to Sarah in pottery class?,She accidentally called her boss ‘Mom’ during a call.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:05:20.346043
124,Manual Entry,Who decided to purchase a teal guitar and what did they name it?,Emma bought a teal acoustic guitar and named it Luna.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:05:33.905974
125,Manual Entry,Which person burned their focaccia due to multitasking?,Jake burned his focaccia.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:05:47.372577
126,Manual Entry,What did Sarah’s therapist assign her to help with social anxiety?,Speaking in front of a mirror for five minutes daily.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:06:01.001299
127,Manual Entry,Who got lost in Chinatown and met a monk?,Chloe.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:06:14.423306
128,Manual Entry,Which book did Ryan start reading about human history?,‘Sapiens.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:06:27.569389
129,Manual Entry,What dessert did Jake plan to bring to Sarah’s promotion celebration?,A strawberry shortcake.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:06:41.457502
130,Manual Entry,What song title did they use as a team name in trivia?,‘Quiztinas Aguilera.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:06:54.890564
131,Manual Entry,Which item did Chloe accidentally burn toast with?,She burned toast in the toaster.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:07:07.958836
132,Manual Entry,Who fell asleep during the spa session and nearly drooled on the table?,Sarah.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:07:21.856115
133,Manual Entry,What did Ryan advise Emma to do during her long flight to Maui?,"Hydrate, walk around, bring a neck pillow, and watch feel‑good movies like ‘Chef.’",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:07:35.201147
134,Manual Entry,Which book did Chloe mention reading that made her reflect on alternate lives?,‘The Midnight Library.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:07:49.010608
135,Manual Entry,What did Emma discover about paper when printing her boarding pass?,"There was a paper shortage, so she had to go digital.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:08:02.743349
136,Manual Entry,What new gadget did Ryan upgrade to reduce noise?,Noise‑canceling headphones.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:08:16.146433
137,Manual Entry,What unexpected phrase did Polly the parrot start saying repeatedly?,‘Buy coffee!’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:08:29.554018
138,Manual Entry,Why did Jake consider starting a bakery?,He kept baking lemon scones and other breads successfully.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:08:42.796286
139,Manual Entry,What did Sarah bring to Ryan’s surprise birthday dinner?,She brought chocolate cupcakes with candles.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:08:56.974199
140,Manual Entry,"What special instrument does Liam, Chloe’s cousin, play?",Guitar.,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:09:10.929472
141,Manual Entry,What did Emma plan to bring back for each friend from Maui?,"Macadamia nuts for Ryan, Kona coffee for Jake, a shell necklace for Sarah, and a hula bobblehead for Chloe.",I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:09:25.050665
142,Manual Entry,What book did Jake read to learn there are over 800 aroma compounds in coffee?,A book about coffee brewing methods (no title given).,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:09:39.107687
143,Manual Entry,Which show featuring a robot dog did Jake and Emma avoid spoiling?,‘Cosmic Detectives.’,I'm having trouble responding right now. Please try again.,58,False,2025-08-13T02:09:53.666928
